2025-06-29 13:10:26,582 - INFO - A new study created in Journal with name: model-biochemical-mpnn-biochemical_mpnn_ic1_s5_pd_mult_12
2025-06-29 15:00:20,596 - INFO - Trial 11 finished with value: 0.0031902939081192017 and parameters: {'lr': 0.00823971718038869, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0007726789661896986, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00010450994306513775}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:03:14,780 - INFO - Trial 12 finished with value: 0.06283404678106308 and parameters: {'lr': 0.0012315158327412053, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.45661089490714324, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00010677601630265459}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:05:49,770 - INFO - Trial 13 finished with value: 0.004025558475404978 and parameters: {'lr': 0.014674487225570515, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'relu', 'drop_p_g_net': 0.0011298831007075171, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 48, 'af_h_net': 'relu', 'drop_p_h_net': 0.0019651604162545483}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:11:30,053 - INFO - Trial 14 finished with value: 0.008770572952926159 and parameters: {'lr': 0.004352345785683673, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0002719933147780784, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'softplus', 'drop_p_h_net': 0.023384249625705303}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:15:22,067 - INFO - Trial 15 finished with value: 0.0038713684771209955 and parameters: {'lr': 0.0010527935753723103, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'relu', 'drop_p_g_net': 0.01971254200589463, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0022512095007246728}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:22:15,815 - INFO - Trial 16 finished with value: 0.005922324024140835 and parameters: {'lr': 0.004193107987348173, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0023948745946298527, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 8, 'af_h_net': 'relu', 'drop_p_h_net': 0.0008357343179742995}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:26:48,073 - INFO - Trial 17 finished with value: 0.004517878405749798 and parameters: {'lr': 0.018608145215572743, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'relu', 'drop_p_g_net': 0.00010038494379434553, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.00021555153355774114}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:34:52,962 - INFO - Trial 18 finished with value: 0.007013487163931131 and parameters: {'lr': 0.0026921604149243335, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.01680493700802477, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 48, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0034029822226973837}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:46:54,916 - INFO - Trial 19 finished with value: 0.01365889422595501 and parameters: {'lr': 0.006738265041662934, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'tanh', 'drop_p_g_net': 0.12644696382619453, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.02137036340684114}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 15:54:59,624 - INFO - Trial 20 finished with value: 0.0068164607509970665 and parameters: {'lr': 0.0010608453719732763, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 1, 'hidden_dims_g_net': 32, 'af_g_net': 'relu', 'drop_p_g_net': 0.00034472289249944956, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 56, 'af_h_net': 'tanh', 'drop_p_h_net': 0.3859573424387539}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 16:00:37,877 - INFO - Trial 21 finished with value: 0.0058057899586856365 and parameters: {'lr': 0.008001124020429164, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0017458641323970171, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00010887233553638574}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 16:06:28,642 - INFO - Trial 22 finished with value: 0.0027584380004554987 and parameters: {'lr': 0.008978105079787734, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00044999574795381045, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.00023204864762284844}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 16:11:55,046 - INFO - Trial 23 finished with value: 0.003609386971220374 and parameters: {'lr': 0.011857093900584974, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.00030551213338045026, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 40, 'af_h_net': 'relu', 'drop_p_h_net': 0.0008015868067389485}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 16:15:52,974 - INFO - Trial 24 finished with value: 0.0033948803320527077 and parameters: {'lr': 0.004518810875705707, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 64, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0030623296099433067, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'relu', 'drop_p_h_net': 0.00021763517737469386}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 16:20:01,075 - INFO - Trial 25 finished with value: 0.016969861462712288 and parameters: {'lr': 0.019117982733717162, 'lamb': 0.0, 'batch_size': 64, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 56, 'af_g_net': 'softplus', 'drop_p_g_net': 0.0004731520161218803, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 24, 'af_h_net': 'relu', 'drop_p_h_net': 0.00027553706354251794}. Best is trial 3 with value: 0.0024116982240229845.
2025-06-29 16:31:35,336 - INFO - Trial 26 finished with value: 0.0017446497222408652 and parameters: {'lr': 0.0026690687039644923, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.016437259714845893, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0009512097172761865}. Best is trial 26 with value: 0.0017446497222408652.
2025-06-29 16:37:08,248 - INFO - Trial 27 finished with value: 0.002055746503174305 and parameters: {'lr': 0.00330201859126876, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 48, 'af_g_net': 'softplus', 'drop_p_g_net': 0.013041860030128236, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'relu', 'drop_p_h_net': 0.0008851261894912443}. Best is trial 26 with value: 0.0017446497222408652.
2025-06-29 16:46:25,141 - INFO - Trial 28 finished with value: 0.0015471767401322722 and parameters: {'lr': 0.003166862634978669, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.015215764847961534, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 24, 'af_h_net': 'tanh', 'drop_p_h_net': 0.0009437762767931456}. Best is trial 28 with value: 0.0015471767401322722.
2025-06-29 16:57:42,661 - INFO - Trial 29 finished with value: 0.0014293993590399623 and parameters: {'lr': 0.003224419859126663, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.01691806415163357, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0008028440217283673}. Best is trial 29 with value: 0.0014293993590399623.
2025-06-29 17:05:29,424 - INFO - Trial 30 finished with value: 0.004021192900836468 and parameters: {'lr': 0.0030106673950487882, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.03456118404703873, 'n_hidden_layers_h_net': 1, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0006012084856081826}. Best is trial 29 with value: 0.0014293993590399623.
2025-06-29 17:16:14,078 - INFO - Trial 31 finished with value: 0.0018872579094022512 and parameters: {'lr': 0.0032644197984422582, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.013260482520469283, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 32, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0011243124430174798}. Best is trial 29 with value: 0.0014293993590399623.
2025-06-29 17:23:16,164 - INFO - Trial 32 finished with value: 0.0018624637741595507 and parameters: {'lr': 0.002265015935499948, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.011875611041413514, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.0013180201109362257}. Best is trial 29 with value: 0.0014293993590399623.
2025-06-29 17:34:10,674 - INFO - Trial 33 finished with value: 0.003311592387035489 and parameters: {'lr': 0.0023456763594861506, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 32, 'af_g_net': 'softplus', 'drop_p_g_net': 0.02404759875404756, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 8, 'af_h_net': 'softplus', 'drop_p_h_net': 0.00384064145236533}. Best is trial 29 with value: 0.0014293993590399623.
2025-06-29 17:41:02,502 - INFO - Trial 34 finished with value: 0.007093431893736124 and parameters: {'lr': 0.0013690674373519937, 'lamb': 0.0, 'batch_size': 32, 'n_hidden_layers_g_net': 2, 'hidden_dims_g_net': 40, 'af_g_net': 'softplus', 'drop_p_g_net': 0.05362514929446805, 'n_hidden_layers_h_net': 2, 'hidden_dims_h_net': 16, 'af_h_net': 'softplus', 'drop_p_h_net': 0.01177298050936638}. Best is trial 29 with value: 0.0014293993590399623.
